kernel_weights
0.285730
-0.557921
0.246726
-0.083778

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.021512,0.020334,0.023632,0.009408,0.019511,0.012185,0.021393,0.029518

normal,abnormal
-0.023780,0.076387
0.051972,-0.020315
-0.023780,0.019442
0.051972,-0.027066
-0.018375,0.000635
0.030649,0.060842
0.028132,-0.066823
-0.007862,0.057953
0.021382,-0.009505
-0.010454,-0.012394
0.061536,0.044924
0.003047,-0.041638
0.077529,0.071354
-0.092881,-0.081495
0.036927,0.035285
0.030649,0.002278
0.028132,0.067592
-0.007862,-0.053422
0.015977,-0.014037
0.000059,0.021958
0.030649,0.008929
0.033537,-0.017799
-0.023780,0.055437
0.046567,-0.067120
-0.002457,0.053497
-0.010751,-0.083732
0.062485,0.008811
-0.043857,-0.084502
0.029006,-0.001126
0.005167,-0.039637
0.026490,-0.062602
-0.025423,-0.033655
0.034411,-0.048328
0.000059,-0.087211
0.030649,-0.006054
0.022727,-0.103129
0.008055,0.024536
-0.030828,-0.089430
0.055734,-0.042997
-0.051854,0.000045
0.085078,-0.016746
0.015103,0.006220
-0.029185,-0.017322
0.062485,-0.023973
-0.038452,0.056013
0.018493,-0.026117
0.025244,-0.051674
0.033240,0.022832
-0.006617,0.011148
-0.064307,0.040765
0.093948,-0.084384
-0.027939,0.081792
-0.006989,-0.020018
0.023601,0.013088
0.021085,0.051972
-0.014910,-0.023780
0.008929,0.046567
-0.012394,-0.007862
0.039519,0.010572
-0.009505,0.010572
-0.012394,-0.000238
0.050329,0.037002
-0.035936,-0.040095
0.049083,-0.015282
0.028132,0.091432
-0.002457,-0.063934
-0.010751,0.011445
0.062485,0.023601
-0.043857,0.031895
0.034411,-0.046746
-0.010751,0.075514
0.062485,-0.027939
-0.054667,-0.023204
0.066247,0.076759
-0.077336,-0.092008
0.078030,0.049957
0.002650,0.035757
-0.009505,0.007758
-0.017799,-0.013665
0.060842,-0.060544
-0.050608,0.065874
0.015605,0.010572
0.082562,0.005167
-0.031702,0.026490
0.026490,-0.025423
-0.025423,0.029006
0.023601,-0.000238
0.026490,0.042407
-0.030828,-0.072228
0.039519,0.084681
-0.009505,-0.082741
-0.017799,0.093948
0.055437,-0.027939
-0.050905,-0.001584
0.016553,0.018493
0.003227,0.025244
0.009877,0.038645
-0.070109,-0.027939
0.022832,-0.017799
0.011148,0.050032
0.024550,-0.029582
-0.052845,-0.013739
-0.005464,0.015605
-0.036351,0.087967
-0.005861,-0.036809
-0.107170,0.036054
0.037683,0.006810
-0.017620,0.049455
-0.006810,-0.070585
-0.038645,0.096837
0.033345,-0.079852
-0.003524,0.047440
-0.003524,0.021382
-0.008929,-0.021264
0.001584,0.093372
-0.007683,-0.058132
-0.062485,0.077157
