kernel_weights
0.294182
0.067262
0.411875
-0.411875

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.003510,0.024427,0.038542,0.053308,0.033393,0.021610,0.046060,0.035888

normal,abnormal
-0.051786,0.046911
0.133676,0.058297
0.043657,0.027385
0.042025,0.088124
0.011659,0.012745
0.015999,0.076191
0.034978,0.042572
0.034978,-0.022506
0.008406,0.033893
0.061551,-0.029553
0.039318,0.057211
0.053958,0.042572
0.008406,0.030639
0.008406,-0.019253
0.065891,-0.038232
0.062637,0.019253
0.130422,-0.010574
0.005152,0.057211
0.023046,0.042572
-0.006234,0.030639
0.062637,-0.019253
0.112529,-0.011660
0.104935,-0.033893
0.074023,0.038232
0.108189,0.042572
0.059383,-0.022506
0.153741,0.007320
0.085956,-0.029553
0.069684,0.034978
-0.021420,0.065891
0.142355,0.111443
0.094635,0.053958
0.111982,-0.000273
0.108189,0.068058
0.112529,-0.087038
0.047451,-0.027932
0.077277,0.007866
0.146694,0.015999
0.131508,-0.000273
0.065344,-0.064805
0.057211,0.072398
-0.063719,-0.032807
0.004066,0.124997
0.077823,-0.082698
0.139101,0.021960
0.043111,-0.048533
0.076191,0.088124
-0.032807,0.012745
0.107103,0.049618
0.043657,0.015999
0.152655,0.061551
-0.044739,0.061551
0.048532,0.030639
-0.101678,0.007320
0.083784,-0.091377
0.024678,0.041486
0.072937,0.027932
0.034978,0.049618
0.034978,-0.019253
0.008406,0.014913
0.061551,-0.033893
-0.013827,0.007320
0.133676,-0.007320
0.043657,-0.014913
0.042025,0.091377
-0.014913,-0.010574
0.015999,0.021960
0.039318,0.022506
0.084870,-0.091377
0.031725,0.032807
0.133676,-0.124997
-0.013827,0.082698
0.071851,-0.101678
-0.002980,0.075105
0.083784,0.031185
-0.041486,-0.026846
0.002980,-0.020339
-0.106017,-0.102764
0.038232,0.014913
0.051251,0.023592
0.050704,0.030639
