kernel_weights
0.411875
-0.231500
-0.324636
-0.100704

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.028512,0.026054,0.035481,0.007475,0.018782,0.037847,0.035815,0.013845

normal,abnormal
-0.035343,-0.017698
-0.050279,0.024299
-0.023706,-0.016341
-0.023706,0.033118
-0.030203,-0.013911
-0.044651,-0.055907
-0.038642,-0.002274
0.002866,-0.016341
-0.030203,0.046112
-0.057645,0.027978
-0.087027,-0.026036
-0.054446,-0.055419
0.000056,-0.029335
0.002378,-0.002274
-0.016137,-0.016341
-0.126594,0.046112
-0.109329,0.027978
-0.091195,-0.019539
-0.043678,-0.040972
-0.035239,-0.028846
-0.076259,-0.016341
-0.076747,0.033118
-0.043189,-0.020408
-0.042809,-0.083348
0.007138,-0.051148
-0.086443,-0.059586
-0.144720,0.000925
-0.100121,0.057749
0.017906,0.054550
-0.076259,-0.000048
-0.063753,0.028358
-0.014295,0.030407
-0.067820,-0.102067
-0.104773,0.004604
0.017702,0.054550
0.076956,-0.032533
-0.002274,-0.069866
-0.042329,-0.023326
-0.070150,0.052228
-0.149480,-0.014019
-0.029815,0.021100
0.055523,-0.109921
-0.003143,-0.038154
-0.078208,-0.017698
-0.039022,0.017802
-0.053577,-0.050279
0.048930,-0.017209
0.039126,0.010232
0.027597,0.046112
-0.095474,0.034475
-0.050659,-0.011589
-0.080150,-0.061428
0.029439,-0.057849
-0.023706,0.072684
-0.023706,0.027978
-0.030203,-0.013042
-0.044651,-0.013530
-0.051636,0.007033
-0.032525,-0.034475
-0.026136,-0.014399
0.065319,-0.015852
-0.041840,0.025548
-0.077720,0.075983
-0.066083,-0.005676
-0.033014,0.043294
-0.018566,0.023326
-0.005084,-0.052228
0.003247,0.014019
0.039234,-0.040591
-0.049410,0.034094
0.031664,-0.035547
0.033986,0.102936
0.021969,0.037773
-0.080538,-0.058237
-0.083729,-0.040483
-0.101094,-0.042913
0.008006,0.046112
