kernel_weights
0.181397
-0.318672
0.145697
0.351237

pooling_output
normal,,,,abnormal,,,
feature1,feature2,feature3,feature4,feature1,feature2,feature3,feature4
0.033140,0.048483,0.065207,0.039098,0.086686,0.037627,0.025559,0.012471

normal,abnormal
0.061577,0.028594
-0.046168,0.104076
-0.065779,0.044749
0.003962,0.050711
0.061577,0.144993
-0.023507,0.112528
0.011602,0.056793
0.034262,0.019737
0.066323,0.138440
0.032503,0.167451
0.014246,0.099811
0.023848,0.040638
0.070727,0.095763
0.051504,0.138237
-0.050077,0.122673
0.046711,0.049494
0.056923,0.038739
0.075722,0.096777
-0.033378,0.109072
-0.015511,0.005187
0.078228,0.081416
0.054620,0.080670
0.032503,0.112730
0.014246,0.078910
0.069169,0.105975
0.021545,0.111716
-0.040475,0.085415
0.025608,0.100759
0.054822,0.030695
0.031959,0.147839
0.023103,0.146891
0.034806,0.111514
0.034806,0.063298
-0.010515,0.037181
0.038667,0.021497
0.085325,0.122535
0.036161,0.011943
0.042648,0.025949
-0.038374,0.069169
0.069371,0.021545
0.043662,0.004846
0.023103,0.044408
0.034806,-0.031618
0.034806,0.036566
0.057466,0.041561
0.044206,0.002000
0.014246,0.032705
0.046509,-0.031618
0.057466,-0.008755
0.089526,0.022762
0.055706,0.043119
0.037450,0.009299
0.024392,0.013703
0.039210,0.032705
0.121789,-0.031618
0.089324,-0.008755
0.101571,0.022762
0.070054,0.020458
0.072357,0.022559
0.115577,0.021002
0.090613,-0.031618
0.083314,0.036566
0.079656,0.064222
0.028594,0.034060
0.104076,0.066866
0.158051,0.023646
0.097710,-0.019372
0.019535,-0.017612
0.138983,0.034465
0.090613,-0.047523
0.037993,-0.028301
0.106177,0.095941
0.133833,-0.036768
0.013030,-0.041018
-0.014424,0.034465
0.060515,0.065779
0.032705,-0.003962
0.059024,-0.016257
0.142146,0.019646
0.032844,-0.016800
-0.016727,0.096484
0.062616,0.022357
0.076468,0.021545
0.047864,0.004846
0.065308,0.067068
-0.006313,0.023103
-0.009770,0.012145
0.006606,-0.019915
0.073824,-0.008755
0.035618,0.000101
0.074165,0.056379
-0.018016,0.039258
0.058212,-0.063881
0.034806,0.002948
0.034806,0.022762
0.057466,-0.002202
0.044206,-0.009501
0.059567,0.032161
0.042648,-0.000101
-0.038374,0.034262
0.069371,-0.024319
0.066323,-0.050418
0.055163,0.032364
0.046306,-0.068626
0.035349,-0.007741
0.048610,0.016256
0.010588,-0.019646
-0.004553,0.016800
0.064967,-0.028503
-0.020661,0.051163
-0.022016,-0.109745
-0.007198,-0.006996
0.052721,0.029517
0.056177,0.010313
0.085122,0.029858
-0.008617,-0.043321
0.060313,-0.008755
